Branch;WHSE;GRP;Code;Description;OH;OnSO;OnPO;AVGCost;Value;Stk Fctr B3 Max;LastGRVDate;LastTransDate;B3Max;GRP Sales;Branch#1;B#1OH;B#1Sales;Branch#2;B#2OH;B#2sales;Branch#3;B#3OH;B#3sales
Wadeville;Wad_MW;HNYW;1035101-VS;Earmuff Honeywell VS140 EMEA Verishield W/Out AFC;6143;0;0;R178,85;R1 098 700,31;18429,0;2024/02/08;2026/02/24;0,3;4,0;Wadeville;6143;4;;;;;;
Wadeville;Wad_MW;OBS;1035105-VS;Earmuff Honeywell VS120 EMEA AU Verishield;5194;0;0;R181,74;R943 957,56;346,3;2023/09/06;2026/02/23;15,0;177,0;White River;1;118;Wadeville;5214;57;Kathu;0;2
Wadeville;Wad_MW;ANS;R-068/12;Ansell Ringers Liquid Cut Pucture Resistant S12 Impact Protection;2168;0;0;R243,77;R528 504,04;1626,0;2025/01/17;2025/06/13;1,3;4,0;Wadeville;2168;4;;;;;;
Wadeville;Wad_MW;ANS;R-068/07;Ansell Ringers Liquid Cut Pucture Resistant S07 Impact Protection;1773;0;0;R212,56;R376 876,45;59,1;2025/01/07;2025/06/13;30,0;308,0;Pretoria;60;180;Wadeville;1773;128;;;
Wadeville;Wad_MW;RESP;DMGRN9241B;Dust Mask Greenline FFP2 Valved Moulded White Activ/Carbon Prem Adjust Strap Price Per Box of 5;1877;0;0;R195,00;R366 015,00;99,0;2024/12/10;2024/11/08;0,0;;;;;;;;;;
Wadeville;Wad_MW;GLOV;GLGRED20L;Glove Red Heat Resistant 8 20cm Blanket Lined;3992;0;3600;R89,37;R356 763,62;98,2;2025/05/09;2026/03/10;77,3;4340,0;Potchefstroom;19;1980;Pretoria;160;1630;Wadeville;0;493
Wadeville;Wad_MW;MB;MBS0SMW700FLM7-9;"MB Smelter Sock Flame Retardant Black Wide 7-9 ProtxQ 90% Spandex 8% Po;yester 2% Anti Bacterial Reinforced Heel & Toe Comfort Cushioned Sole";4325;0;0;R80,00;R346 000,00;99,0;2025/08/22;;0,0;353,0;Middelburg;56;217;Potchefstroom;214;86;Vereeniging;0;50
Wadeville;Wad_MW;GLOV;GSH377IPXXL-10;Glove Showa Full Nitrile Blue Undercoating S10 W/Black Foamed Palm Coating W/Impact Resistant  Bumper Guards 13 Gauge Seamless Knitted Liner ;1647;0;0;R197,47;R325 226,06;16,5;2025/08/13;2025/05/14;100,0;313,0;Wadeville;2023;300;Potchefstroom;10;8;Steelpoort;0;5
Wadeville;Wad_MW;ANS;11-738/09;Ansell Hyflex Cut 5/F PU/Nitrile Mixed Palm S09 C/W Reinforced Thumb ;1813;0;0;R175,84;R318 797,79;160,0;2025/04/15;2026/01/12;11,3;320,0;Vereeniging;0;144;Secunda;70;78;Wadeville;0;66
Wadeville;Wad_MW;MB;MBS0SML700FLM7-9;"MB Smelter Sock Flame Retardant Yarn Blk 7-9 ProtxQ 90% Spandex 8% Po;yester 2% Anti Bacterial Reinforced Heel & Toe Comfort Cushioned Sole";4208;0;0;R73,54;R309 439,01;789,0;2025/06/03;2025/11/18;5,3;3565,0;Potchefstroom;2095;2688;Vereeniging;0;466;White River;0;141
Wadeville;Wad_MW;ANS;11-738/07;Ansell Hyflex Cut 5/F PU/Nitrile Mixed Palm S07 C/W Reinforced Thumb ;1717;0;0;R177,45;R304 676,71;515,1;2025/04/15;2026/01/12;3,3;62,0;Secunda;62;51;Wadeville;1717;11;;;
Wadeville;Wad_MW;ANS;11-738/11;Ansell Hyflex Cut 5/F PU/Nitrile Mixed Palm S11 C/W Reinforced Thumb ;1644;0;0;R175,36;R288 290,05;99,0;2025/04/15;2024/10/22;0,0;12,0;Secunda;53;12;;;;;;
Wadeville;Wad_MW;ANS;11-738/10;Ansell Hyflex Cut 5/F PU/Nitrile Mixed Palm S10 C/W Reinforced Thumb ;1557;25;0;R181,61;R282 769,86;61,3;2025/04/15;2026/02/17;25,0;1697,0;Rustenburg;96;1008;Pretoria;178;576;Wadeville;0;154
Wadeville;Wad_MW;DUPO;D14886047;Dupont Tyvek 200 Easysafe Type 5/6 M  ;3601;0;0;R75,92;R273 401,19;60,0;2024/04/05;2026/03/12;60,0;1025,0;Wadeville;3625;460;Richards Bay;154;458;Polokwane;0;90
Wadeville;Wad_MW;ANS;R-068/10;Ansell Ringers Liquid Cut Pucture Resistant S10 Impact Protection;1341;0;0;R199,76;R267 880,46;14,9;2025/01/07;2025/07/14;90,0;1251,0;Kathu;0;460;Wadeville;1341;395;Pretoria;0;384
Wadeville;Wad_MW;ANS;11-920/08;Ansell Hyflex Blue Nitrile Palm Coat Glove 313 S08  ;4110;0;0;R62,40;R256 445,19;61,7;2025/07/23;2025/12/02;66,7;2158,0;Rustenburg;253;1045;Pretoria;226;680;Wadeville;0;212
Wadeville;Wad_MW;ANS;R-068/13;Ansell Ringers Liquid Cut Pucture Resistant S13 Impact Protection;1101;0;0;R214,44;R236 093,19;22,2;2025/01/07;2026/02/09;49,7;159,0;Wadeville;1101;159;;;;;;
Wadeville;Wad_MW;ANS;43-113/10;Ansell Mercury Kevlar Heat/Cut Resistant S10  ;439;0;0;R474,19;R208 168,35;16,5;2025/05/12;2025/04/10;26,7;81,0;Wadeville;439;80;Vereeniging;0;1;;;
Wadeville;Wad_MW;EYE;GB1820ST;Goggle Pyramex V2G Grey Lens A/F-A/S  ;1997;0;0;R103,97;R207 628,12;2995,5;2024/01/24;2025/10/30;0,7;4,0;Wadeville;1997;3;Richards Bay;7;1;;;
Wadeville;Wad_MW;DUPO;D15344179;D15344179 Tychem 6000F Plus (Replaces F2) Grey M CHZ5 Type 3B Protective Chemical Suit;311;0;160;R646,91;R201 190,03;117,8;2025/04/24;2026/02/09;4,0;190,0;Rustenburg;53;75;Secunda;0;35;Vereeniging;0;27
Wadeville;Wad_MW;DUPO;D15344191;D15344191 Tychem 6000F Plus (Replaces F2) Grey XL CHZ5 Type 3B Protective Chemical Suit;298;0;320;R661,68;R197 179,35;206,0;2025/04/24;2026/02/03;3,0;383,0;Secunda;0;191;Rustenburg;64;92;Vereeniging;0;66
Wadeville;Wad_MW;GLOV;GSH732-08;Glove Showa Chemical Resistant Nitrile S08 Forearm Protection Oil-Resistant Impermeable    Flocked Textured Finish Ergonomic;9921;0;0;R19,73;R195 726,14;14881,5;2025/03/12;2025/07/03;0,7;4008,0;Potchefstroom;470;4006;Wadeville;9921;2;;;
Wadeville;Wad_MW;3M;M9162E;3M9162E Vflex Healthcare Respirator FFP2 Valved UU010137089 15/Bag 300/Case;9975;0;0;R18,26;R182 143,50;99,0;;2025/02/05;0,0;;;;;;;;;;
Wadeville;Wad_MW;DUPO;CSTYCHA5#M;D13495156 Tychem 6000F Grey M Type 3B Protective Chemical Suit;371;0;150;R488,25;R181 142,19;50,4;2024/08/15;2026/02/23;10,3;267,0;Rustenburg;53;149;Wadeville;371;89;Middelburg;0;20
Wadeville;Wad_MW;HNYW;2500005R0302;Glove Chainex 2000 S/Steel Mesh 5 Finger XL XL Orange One Hand ;115;0;0;R1 531,93;R176 171,95;345,0;;2025/09/19;0,3;1,0;Wadeville;115;1;;;;;;
