;;;;Sales Analysis;;;;;;;;
Pienaar Bros North (Pty) Ltd;;;;;;;;;;;;
From:;01/01/2026;;;;;;;;;;;
To:;02/04/2026;;;;;;;;;;;
Sales Analysis Report;;;;;;;;;;Page 1 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
FBB9000608;Safety Boot Bova Chelsea STC Black S08 ;;05/01/2026;010-INV179091;TURN001_WAD;701,39;1 000,00;1;1 000,00;701,39;298,61;29,86
GFBCMANG05;Boot Grittgear Mangano Chelsea Chocolate STC S05;;05/01/2026;010-INV179092;CASH_010_001;370;535,00;1;535,00;370,00;165,00;30,84
RE940BK04;Safety Boot Rebel Thuli Ladies STC Black S04;;05/01/2026;010-INV179093;CASH_010_001;769,95;1 090,00;1;1 090,00;769,95;320,05;29,36
MBCSTNAF36;MB C/Suit Trouser D59FA Navy Sasol Spec S36/92;;05/01/2026;010-INV179093;CASH_010_001;225;320,00;1;320,00;225,00;95,00;29,69
WROZL;Reflective Vest EN4 Orange Zip & ID Pouch L;;05/01/2026;010-INV179094;MACH001_WAD;22,95;32,00;3;97,50;68,85;28,65;29,38
EY-SPECSPCL;S/Spec Opti Gear Sporty Clear ;;05/01/2026;010-INV179094;MACH001_WAD;7,45;11,00;24;254,40;178,80;75,60;29,72
GLO300-09;Glove Flexnite Nitrile Sandy Palm Surface Dip S09;;05/01/2026;010-INV179094;MACH001_WAD;23,58;34,00;10;336,00;235,80;100,20;29,82
GTIG/L;Glove Keystone Pigskin Tig Weld Tan/Red L S09;;05/01/2026;010-INV179094;MACH001_WAD;35,14;50,00;50;2 500,00;1 757,00;743,00;29,72
CSTYCHA5#M;D13495156 Tychem 6000F Grey M;;05/01/2026;010-INV179095;M3EN001_TVL;488,25;680,00;1;680,00;488,25;191,75;28,20
MCW;"Mop Cap Double Elastic 18"" White 100/Pack";;05/01/2026;010-INV179096;CASH_010_001;18,9;41,00;50;2 050,00;945,00;1 105,00;53,90
BEARDCOVER;Disp Beard Cover Double Elastic Headband 100/Pack;;05/01/2026;010-INV179096;CASH_010_001;25;39,00;40;1 560,00;1 000,00;560,00;35,90
JCB1819#08;Safety Shoe JCB Jogger U-Light Comp Cap Black S08;;05/01/2026;010-INV179097;CASH_010_001;540;780,00;1;780,00;540,00;240,00;30,77
MBCSJNAF36;MB C/Suit Jacket D59FA Navy S36/92;;05/01/2026;010-INV179097;CASH_010_001;225;320,00;1;320,00;225,00;95,00;29,69
DCBB09;Safety Boot DOT Chelsea STC Black S09;;05/01/2026;010-INV179097;CASH_010_001;345;505,00;1;505,00;345,00;160,00;31,68
FBLB5500604;Safety Boot Sisi Ladies Reese STC Black S04;;05/01/2026;010-INV179098;BOMB002_WAD;556,64;710,00;1;710,00;556,64;153,36;21,60
FBB2000211;Safety Boot Bova Munich STC Black S11;;05/01/2026;010-INV179099;CASH_010_001;665,46;950,00;1;950,00;665,46;284,54;29,95
BLEACH5;Bleach 5L;;05/01/2026;010-INV179100;CASH_010_001;33,6;37,00;1;37,40;33,60;3,80;10,16
LEMON5;Dish Washing Lemon Liquid 5L;;05/01/2026;010-INV179100;CASH_010_001;47,5;53,00;1;52,80;47,50;5,30;10,04
FSB3000208;Safety Shoe Bova Trainer STC Black S08 Now 60012;;05/01/2026;010-INV179101;CASH_010_001;594,13;840,00;1;840,00;594,13;245,87;29,27
GLGREINF20;Glove Green Lined Reinforced Palm/Knuckle 8;;05/01/2026;010-INV179101;CASH_010_001;71,02;102,00;36;3 672,00;2 556,72;1 115,28;30,37
GPVC20HW;Glove PVC H/D 8 40cm;;05/01/2026;010-INV179101;CASH_010_001;28,32;39,00;12;468,00;339,84;128,16;27,38
AM0212253;MB B/Suit D59 Yellow S127/50 ;;05/01/2026;010-CRN04157;SERI001_TVL;362,25;415,00;-4;-1 660,00;-1 449,00;-211,00;0,00
AM0212253;MB B/Suit D59 Yellow S127/50 ;;05/01/2026;010-CRN04157;SERI001_TVL;362,25;415,00;-8;-3 320,00;-2 898,00;-422,00;0,00
AM0212256;MB B/Suit D59 Yellow S142/56 ;;05/01/2026;010-CRN04157;SERI001_TVL;414;475,00;-4;-1 900,00;-1 656,00;-244,00;0,00
FBB811507;Safety Boot Lemaitre Zeus STC Black S07 ;;05/01/2026;010-CRN04157;SERI001_TVL;636,24;735,00;-2;-1 470,00;-1 272,48;-197,52;0,00
FBB811508;Safety Boot Lemaitre Zeus STC Black S08 ;;05/01/2026;010-CRN04157;SERI001_TVL;627,6;735,00;-2;-1 470,00;-1 255,20;-214,80;0,00
FBB811509;Safety Boot Lemaitre Zeus STC Black S09 ;;05/01/2026;010-CRN04157;SERI001_TVL;623,17;735,00;-2;-1 470,00;-1 246,34;-223,66;0,00
7710F09;Glove Uvex Unilite Full Nitrile Blue/Black S09/L;;05/01/2026;010-CRN04157;SERI001_TVL;44,89;52,00;-460;-23 805,00;-20 649,40;-3 155,60;0,00
7710F08;Glove Uvex Unilite Full Nitrile Blue/Black S08/M;;05/01/2026;010-CRN04157;SERI001_TVL;45,87;52,00;-430;-22 252,50;-19 724,10;-2 528,40;0,00
7710F10;Glove Uvex Unilite Full Nitrile Blue/Black S10/XL;;05/01/2026;010-CRN04157;SERI001_TVL;45,49;52,00;-230;-11 902,50;-10 462,70;-1 439,80;0,00
GSH13709;Gumboot Stimela Black/Grey+STC+Metatarsal S09;;05/01/2026;010-CRN04157;SERI001_TVL;291;420,00;-10;-4 200,00;-2 910,00;-1 290,00;0,00
GSH137W08;Gumboot Stimela+STC+Metatarsal+W/Calf S08;;05/01/2026;010-CRN04157;SERI001_TVL;393,7;328,00;-2;-655,90;-787,40;131,50;0,00
R909CLB A29 ANGLO;Safety Cap Rhino W/Lamp Bracket White & Ratchet;;05/01/2026;010-CRN04157;SERI001_TVL;41,48;54,00;-40;-2 158,00;-1 659,20;-498,80;0,00
SC3322;Socks Wool Cold Room Miners Grey Long 5005;;05/01/2026;010-CRN04157;SERI001_TVL;18,5;19,00;-60;-1 155,00;-1 110,00;-45,00;0,00
SC3322;Socks Wool Cold Room Miners Grey Long 5005;;05/01/2026;010-CRN04157;SERI001_TVL;18,5;19,00;-40;-770,00;-740,00;-30,00;0,00
Sage 200 Evolution (Registered to Brian Pienaar North (Pty) Ltd);;;;;;;;;04/04/2026 18:43:19;;;
Sales Analysis Report;;;;;;;;;;Page 2 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
UPBL;Underwear Thermal Long Johns Black L;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-6;-561,00;-480,84;-80,16;0,00
UPBL;Underwear Thermal Long Johns Black L;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-8;-748,00;-641,12;-106,88;0,00
UPBXL;Underwear Thermal L/Johns Mens Interlock Black XL;;05/01/2026;010-CRN04157;SERI001_TVL;80,14;94,00;-4;-374,00;-320,56;-53,44;0,00
